"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"465989051292864512","465987209393225728","82992519","2014-05-12 22:57:02 +0000","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","@largerama Thank you kindly :-) Hoping #eNOOBs might feel they have something to add","","","",""
"465963272806879232","","","2014-05-12 21:14:36 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Been thinking about conducting an attitudinal survey of colleagues' self-perceptions http://t.co/jLNLMDxzk4","","","","http://ianinsheffield.wordpress.com/2014/05/12/1403/"
"465942197771464704","","","2014-05-12 19:50:51 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","A whole bunch of journals on a a vast range of topics are available for FREE through http://t.co/N0U7aQ8cfO - appeals to this Yorkie/Scot!","","","","http://www.thefreelibrary.com/"
"465409446177669120","465403090816872448","372768752","2014-05-11 08:33:53 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@mrkrndvs @JulieBTW 2/2 ... &amp; partly about being pushed beyond our comfort zone into areas we might not otherwise consider?","","","",""
"465409100101459968","465403090816872448","372768752","2014-05-11 08:32:31 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@mrkrndvs @JulieBTW Maybe it's partly about being reminded what it's like for our students; meeting deadlines, satisfying criteria ...1/1","","","",""
"465394861974503424","465393849964429312","24023185","2014-05-11 07:35:56 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@JulieBTW 2/2 ... and a few other reasons too!","","","",""
"465394688196116480","465393849964429312","24023185","2014-05-11 07:35:14 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@JulieBTW :-) Enjoyed the 1st (demands &amp; rigorous approach), so signed up for the 2nd, which shifted the focus from tech to learning ...1/2","","","",""
"465391717173444608","465390361666658304","24023185","2014-05-11 07:23:26 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@JulieBTW @mrkrndvs Agreed. I think each makes different demands &amp; therefore encourages development of different skills &amp; attributes.","","","",""
"465388612922916864","","","2014-05-11 07:11:06 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","A slightly different approach to producing resources to support Scratch http://t.co/rKMg3U8qdB shared via @MirandaNet1","","","","http://www.literacyfromscratch.org.uk/"
"465379929182703616","465372448368521217","372768752","2014-05-11 06:36:36 +0000","<a href=""http://www.echofon.com"" rel=""nofollow"">Echofon  Android</a>","@mrkrndvs Sorry to butt in , but why 'battling?'","","","",""
"464478594530803712","","","2014-05-08 18:55:01 +0000","<a href=""http://www.echofon.com"" rel=""nofollow"">Echofon  Android</a>","What an interesting and amusing way to fire off a discussion on the speed of light &amp; astronomical distance http://t.co/LHXJmad1sT","","","","http://abstrusegoose.com/567"
"463413124222443520","463409741444550656","10681922","2014-05-05 20:21:13 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@andykemp That's about as far as I got too Andy. ""Banal?"" That's probably about right. (Mr O'Sullivan seems to have done OK on it though)","","","",""
"461247239479115777","","","2014-04-29 20:54:46 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Two blog posts, two perspectives on collaborative research: http://t.co/fyRdlfVWp9 http://t.co/GNpSc6tgDO with @largerama","","","","http://largerama.creativeblogs.net/2014/04/27/sharedresearch/,http://ianinsheffield.wordpress.com/2014/04/27/intercontinentalresearch/"
"461219260107620353","461212156227510273","644603","2014-04-29 19:03:35 +0000","<a href=""http://www.echofon.com"" rel=""nofollow"">Echofon  Android</a>","@fraserspeirs 'twas done a short while ago - #purposed http://t.co/u637qwPoeT Time to rekindle? (In the non-Amazon sense)","","","","http://bit.ly/1fNpUN3"
"460914363311095808","460898331859111937","21741219","2014-04-28 22:52:02 +0000","<a href=""http://www.echofon.com"" rel=""nofollow"">Echofon  Android</a>","@musicandwords You're right. Looks good! Thanks :-)","","","",""
